IDnr	Word	Length	LemmaFreq	WordFreq
231	ωθώ	3	17	0
232	ώρα	3	549	335.8
233	ώση	3	7	3.6
234	αβάς	4	2	1
235	αγάς	4	1	0.1
236	άγια	4	2	1.9
237	αγνή	4	4	3.2
238	άγος	4	3	1.1
239	άγρα	4	6	3
240	αγώι	4	0	0.1
241	αδάμ	4	4	4.4
242	άδης	4	2	0.4
243	αέρι	4	0	0
244	αθώα	4	6	5.7
245	αίγα	4	0	0
246	αίμα	4	75	43.6
247	αίρω	4	28	0.1
248	ακμή	4	23	7.7
249	ακοή	4	3	1.5
250	άκρα	4	34	15.2
251	άκρη	4	42	38
252	άκρο	4	36	13
253	ακτή	4	30	10.7
254	άκων	4	51	0.2
255	άλας	4	5	0.7
256	αλέα	4	1	0.4
257	αλκή	4	1	0.7
258	αλλά	4	2867	2853
259	άλμα	4	19	13.4
260	άλμη	4	0	0.1
261	αλόη	4	0	0.1
262	άλφα	4	9	9
263	άλως	4	0	0.1
264	αμάν	4	3	2.7
265	αμήν	4	1	1
266	αμόκ	4	1	0.9
267	άναξ	4	0	0.1
268	άνευ	4	28	27.9
269	άνθι	4	0	
270	ανθώ	4	8	0
271	ανία	4	1	0.9
272	άντε	4	19	19.2
273	αντί	4	162	142.7
274	αξία	4	268	125
275	άξια	4	5	4.8
276	άουτ	4	21	20.6
277	άπαξ	4	4	3.6
278	άπας	4	8	0.1
279	άπλα	4	7	0.1
280	απών	4	16	4.4
281	αργώ	4	25	0.9
282	άρης	4	102	42.7
283	άρια	4	4	1.3
284	αρκώ	4	102	
285	άρμα	4	14	3.4
286	άρμη	4	0	0.2
287	αρνί	4	5	2
288	άρπα	4	1	0.9
289	άρση	4	39	27.5
290	αρύς	4	0	
291	αρχή	4	771	273.1
292	άρχω	4	3	
293	ασκί	4	0	0.1
294	ασκώ	4	207	1
295	άσμα	4	5	2.8
296	άσος	4	25	6.1
297	αστή	4	2	0.2
298	άστυ	4	2	1.9
299	ατός	4	9	0.1
300	ατού	4	8	8.4
301	αυγή	4	13	9.1
302	αυγό	4	6	1.7
303	αυλή	4	23	15.5
304	αύρα	4	3	2.6
305	αυτί	4	23	8.6
306	αφού	4	601	599.4
307	αχλή	4	0	0.2
308	άχνα	4	1	0.8
309	άχνη	4	0	0.2
310	αχός	4	0	0.2
311	άχτι	4	1	1.1
312	αψιά	4	0	0
313	αψύς	4	0	0.1
314	βαβά	4	0	0.1
315	βάβω	4	0	0
316	βάζο	4	3	1.4
317	βάζω	4	334	6.1
318	βαμπ	4	0	0.4
319	βάνα	4	2	1.4
320	βάνω	4	1	0.1
321	βάση	4	432	361.7
322	βάτα	4	1	0.6
323	βαφή	4	3	1.8
324	βάφω	4	13	0.1
325	βέλο	4	0	0.3
326	βέρα	4	3	2
327	βέτο	4	20	19.7
328	βήμα	4	196	130.7
329	βήτα	4	5	4.9
330	βήχω	4	1	0
331	βίδα	4	2	0.5
332	βίζα	4	7	3.8
333	βίλα	4	17	11.8
334	βίος	4	43	3.8
335	βιπς	4	0	0
336	βίρα	4	1	0.7
337	βόας	4	0	0.1
338	βόδι	4	3	0.8
339	βολέ	4	2	2.3
340	βολή	4	31	8.5
341	βόλι	4	1	0.4
342	βολτ	4	1	0.7
343	βορά	4	2	1.6
344	βουή	4	1	0.9
345	βρύο	4	0	
346	βυζί	4	1	0.3
347	βύνη	4	0	0.1
348	γάζα	4	7	3.4
349	γαζί	4	0	0.1
350	γαία	4	3	0.6
351	γάλα	4	30	18
352	γάμα	4	1	0.7
353	γάτα	4	11	6.5
354	γατί	4	1	0.8
355	γεια	4	7	7.3
356	γένι	4	3	0.1
357	γίδα	4	1	0.4
358	γίδι	4	1	0.1
359	γιος	4	72	31.3
360	γιοτ	4	1	0.7
361	γκέι	4	3	2.6
362	γκελ	4	0	0.4
